"Position","thumbnail","departure","arrival","date","maxpax","price"
1,"https://api.catch-a-jet.com/default-aircraft.jpg","Brussels","Charleroi","25 Dec","4 Seats","Book the entire jet for €990"
2,"https://api.catch-a-jet.com/default-aircraft.jpg","Graz","Innsbruck","25 Dec","4 Seats","Book the entire jet for €990"
3,"https://api.catch-a-jet.com/default-aircraft.jpg","Paris","Sion","25 Dec","4 Seats","Book the entire jet for €990"
4,"https://api.catch-a-jet.com/default-aircraft.jpg","Eindhoven","Bremen","25 Dec","4 Seats","Book the entire jet for €990"
5,"https://api.catch-a-jet.com/storage/1786287/638187084477918899_26.jpg","Innsbruck","Mengen","15 Jan","7 Seats","Book the entire jet for €1.200"
6,"https://api.catch-a-jet.com/storage/1786472/638495534131409309_26.png","Memmingen","Zurich","26 Dec","9 Seats","Book the entire jet for €1.400"
7,"https://api.catch-a-jet.com/storage/1786959/638495534131409309_26.png","Geneva","Lyon","10 Jan","9 Seats","Book the entire jet for €1.450"
8,"https://api.catch-a-jet.com/storage/1786351/637774956493361548_26.png","Samedan","Memmingen","29 Dec","8 Seats","Book the entire jet for €1.500"
9,"https://api.catch-a-jet.com/storage/1786091/638495532654322694_26.jpg","Innsbruck","Mengen","7 Feb","8 Seats","Book the entire jet for €1.550"
10,"https://api.catch-a-jet.com/storage/1786095/638495532654322694_26.jpg","Mengen","Innsbruck","12 Feb","8 Seats","Book the entire jet for €1.550"
11,"https://api.catch-a-jet.com/storage/1769260/638187084477918899_26.jpg","Geneva","Mengen","13 Jan","7 Seats","Book the entire jet for €1.600"
12,"https://api.catch-a-jet.com/storage/1771910/637774956493361548_26.png","Bolzano","Memmingen","26 Dec","8 Seats","Book the entire jet for €1.600"
13,"https://api.catch-a-jet.com/storage/1784758/638495549197243512_26.png","Mengen","Bern","5 Jan","9 Seats","Book the entire jet for €1.600"
14,"https://api.catch-a-jet.com/storage/1784478/638495532654322694_26.jpg","Frankfurt","Mengen","23 Jan","8 Seats","Book the entire jet for €1.700"
15,"https://api.catch-a-jet.com/storage/1751797/638495534131409309_26.png","Bolzano","Mengen","2 Jan","9 Seats","Book the entire jet for €1.700"
16,"https://api.catch-a-jet.com/storage/1746468/638187084477918899_26.jpg","Aix-les-bains","Mengen","27 Dec","7 Seats","Book the entire jet for €1.750"
17,"https://api.catch-a-jet.com/storage/1786313/638187084477918899_26.jpg","Mengen","Aix-les-bains","22 Feb","7 Seats","Book the entire jet for €1.800"
18,"https://api.catch-a-jet.com/storage/1783768/638495534131409309_26.png","Salzburg","Mengen","14 Feb","9 Seats","Book the entire jet for €1.900"
19,"https://api.catch-a-jet.com/storage/1783761/638495534131409309_26.png","Mengen","Salzburg","22 Feb","9 Seats","Book the entire jet for €1.900"
20,"https://api.catch-a-jet.com/storage/1786969/638495549197243512_26.png","Luxembourg","Mengen","11 Jan","9 Seats","Book the entire jet for €1.950"
21,"https://api.catch-a-jet.com/storage/1785014/637854022925191604_26.jpg","Faro","Malaga","3 Jan","7 Seats","Book the entire jet for €1.999"
22,"https://api.catch-a-jet.com/storage/1786279/638187084477918899_26.jpg","Stuttgart","Grenoble","4 Jan","7 Seats","Book the entire jet for €2.050"
23,"https://api.catch-a-jet.com/storage/1769155/637774956175803688_26.png","Friedrichshafen","Venice (venezia)","1 Jan","8 Seats","Book the entire jet for €2.050"
24,"https://api.catch-a-jet.com/storage/1751810/638495534131409309_26.png","Mengen","Bolzano","9 Jan","9 Seats","Book the entire jet for €2.150"
25,"https://api.catch-a-jet.com/storage/1764605/638495549197243512_26.png","Geneva","Memmingen","30 Dec","9 Seats","Book the entire jet for €2.250"
26,"https://api.catch-a-jet.com/storage/1787153/638028973624835497_26.png","Mengen","Aix-les-bains","5 Jan","8 Seats","Book the entire jet for €2.300"
27,"https://api.catch-a-jet.com/storage/1787012/638495534131409309_26.png","Dusseldorf","Mengen","7 Jan","9 Seats","Book the entire jet for €2.350"
28,"https://api.catch-a-jet.com/storage/1786022/638495532654322694_26.jpg","Memmingen","Aix-les-bains","6 Jan","8 Seats","Book the entire jet for €2.450"
29,"https://api.catch-a-jet.com/storage/1761374/638495549197243512_26.png","Mengen","Hannover","28 Dec","9 Seats","Book the entire jet for €2.650"
30,"https://api.catch-a-jet.com/storage/1785066/638289036898140848.jpg","Antwerp","Amsterdam","26 Dec","7 Seats","Book the entire jet for €2.700"
