"Position","thumbnail","route","date","price","aircraft","maxpax","flightTime","WiFi","Pets","Beds"
1,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Chambéry-Savoie Airport (LFLB)  Wevelgem Airport (EBKT)","2024-12-25","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
2,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Sion Airport (LSGS)  Brussels Airport (EBBR)","2024-12-25","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
3,"https://lms-api.luxaviation.com/aircraft_images/179_dc6d38b6-d457-4a9f-99b8-9f1476f4e0c0.jpg","Alicante International Airport (LEAL)  Brussels Airport (EBBR)","2024-12-25","Starting From EUR 7,425.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 02:15","Wifi: No","Pets: No","Beds: No"
4,"https://lms-api.luxaviation.com/aircraft_images/186_b3213068-b105-4284-a1ed-54bd426d2868.jpg","Paris-Le Bourget Airport (LFPB)  Zürich Airport (LSZH)","2024-12-26","Starting From EUR 9,625.00","Bombardier Global 6000","Passengers: 12","Est Flight Time: 00:45","Wifi: Yes","Pets: No","Beds: Yes"
5,"https://lms-api.luxaviation.com/aircraft_images/68_e8468ca9-10db-4e2c-ade0-6ecd79e3d7ae.jpg","Cape Town International Airport (FACT)  Buffalo Range Airport (FVCZ)","2024-12-26","Starting From ZAR 210,475.00","Bombardier Learjet 45","Passengers: 8","Est Flight Time: 02:50","Wifi: Yes","Pets: Yes","Beds: No"
6,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Zürich Airport (LSZH)  Brussels Airport (EBBR)","2024-12-26","Starting From EUR 3,300.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
7,"https://lms-api.luxaviation.com/aircraft_images/17_ad5f257d-9790-43d6-85d8-635184814ec6.jpg","Paris-Le Bourget Airport (LFPB)  Samedan Airport (LSZS)","2024-12-26","Starting From EUR 11,900.00","Dassault Falcon 7X","Passengers: 13","Est Flight Time: 01:05","Wifi: Yes","Pets: Yes","Beds: Yes"
8,"https://lms-api.luxaviation.com/aircraft_images/112_119796f6-2c12-44ee-a524-15d7a17ebde5.jpg","Gibraltar Airport (LXGB)  Cannes-Mandelieu Airport (LFMD)","2024-12-26","Starting From EUR 13,000.00","Embraer Legacy 500","Passengers: 8","Est Flight Time: 01:50","Wifi: Yes","Pets: Yes","Beds: Yes"
9,"https://lms-api.luxaviation.com/aircraft_images/110_f7cf5726-1d76-4431-ab35-5a011451bb9d.jpg","Chambéry-Savoie Airport (LFLB)  Liège Airport (EBLG)","2024-12-26","Starting From EUR 10,275.00","Bombardier Global 5500","Passengers: 16","Est Flight Time: 01:05","Wifi: Yes","Pets: No","Beds: Yes"
10,"https://lms-api.luxaviation.com/aircraft_images/144_f9934516-8806-4118-9484-794e488e443f.jpg","Paris-Le Bourget Airport (LFPB)  London Luton Airport (EGGW)","2024-12-27","Starting From EUR 8,800.00","Bombardier Global 6500","Passengers: 13","Est Flight Time: 00:45","Wifi: Yes","Pets: No","Beds: Yes"
