"Position","thumbnail","route","date","maxpax","price"
1,"https://image.mirai.flights/c/200x248/ai/city/f1/e5/f1e5f199-da6e-4c73-82e1-04fe18f65c4c.jpg","Brussels — Innsbruck","31 Dec, Tu","up to 9","from 6 680 €"
2,"https://image.mirai.flights/c/200x248/ai/city/12/6d/126d50a6-80a2-4fcf-9f18-b089b1e36ccd.jpg","Brussels — Cologne","26 Dec, Th","up to 8","from 2 988 €"
3,"https://image.mirai.flights/c/200x248/ai/city/28/91/28916e71-90df-4822-a796-d604582c586a.jpg","Antwerp — Salzburg","28 Dec, Sa","up to 9","from 14 236 €"
4,"https://image.mirai.flights/c/200x248/ai/city/25/32/2532ab70-3170-4559-a0ae-29312f3fe1af.jpg","Antwerp — London","30 Dec, Mo","up to 14","from 16 030 €"
5,"https://image.mirai.flights/c/200x248/ai/city/91/77/91773040-a7bf-4384-aea2-8651697fefdb.jpg","Eindhoven — Bremen","25 Dec, We","up to 4","from 1 516 €"
6,"https://image.mirai.flights/c/200x248/ai/city/9f/7c/9f7cda13-7ca1-4998-856a-9902a1f3a8b9.jpg","Rotterdam — Dusseldorf","2 Jan, Th","up to 7","from 7 800 €"
7,"https://image.mirai.flights/c/200x248/ai/city/4d/cd/4dcd4ced-9c88-4c79-aecd-9143e0f94af9.jpg","Rotterdam — Amsterdam","29 Dec, Su","up to 8","from 2 150 €"
8,"https://image.mirai.flights/c/200x248/ai/city/ac/41/ac418ce4-57d0-4dfe-b590-37e076d772ab.jpg","Rotterdam — Chambery","27 Dec, Fr","up to 8","from 6 842 €"
9,"https://image.mirai.flights/c/200x248/ai/city/49/fb/49fb116a-bb93-437f-9393-ac1498d45ad4.jpg","Amsterdam — Rovaniemi","28 Dec, Sa","up to 7","from 22 230 €"
10,"https://image.mirai.flights/c/200x248/ai/city/43/d3/43d3e28b-4bb5-4c2e-8112-a9e8bfdbbe17.jpg","Amsterdam — Edinburgh","27 Dec, Fr","up to 6","from 5 623 €"
11,"https://image.mirai.flights/c/200x248/ai/city/ba/38/ba385803-8b68-4d01-aff3-ae454a040960.jpg","Amsterdam — Paris","25 Dec, We","up to 6","from 3 268 €"
12,"https://image.mirai.flights/c/200x248/ai/city/45/8a/458a7119-61a2-48dc-b7ac-04a885511088.jpg","Dusseldorf — Bucharest","28 Dec, Sa","up to 8","from 12 390 €"
