"Position","flightinfo"
1,"23/12/2024

	

London

	

	

Edinburgh

	

	

Citation Jet 1

	

	

4

	

£3,000

	

Enquire Now"
2,"23/12/2024

	

London

	

	

Friedrichshafen

	

	

Phenom 300

	

	

8

	

£4,000

	

Enquire Now"
3,"26/12/2024

	

London

	

	

Luxembourg

	

	

Pilatus PC12

	

	

6

	

£4,250

	

Enquire Now"
4,"27/12/2024

	

London

	

	

Stockholm

	

	

Falcon 2000XL

	

	

10

	

£14,250

	

Enquire Now"
5,"27/12/2024

	

Paris

	

	

London

	

	

Learjet 45

	

	

8

	

£4,750

	

Enquire Now"
6,"27/12/2024

	

London

	

	

Manchester

	

	

Pilatus PC12

	

	

8

	

£2,500

	

Enquire Now"
7,"28/12/2024

	

London

	

	

Aberdeen

	

	

Learjet 45

	

	

6

	

£3,500

	

Enquire Now"
8,"31/12/2024

	

Bournemouth

	

	

Brussels

	

	

Citation CJ2

	

	

5

	

£4,500

	

Enquire Now"
9,"31/12/2024

	

Oxford

	

	

Brussels

	

	

Citation CJ2

	

	

5

	

£4,500

	

Enquire Now"
10,"02/01/2025

	

Manchester

	

	

Annecy

	

	

Pilatus PC12

	

	

8

	

£4,250

	

Enquire Now"
11,"02/01/2025

	

Chester

	

	

Malaga

	

	

Citation CJ3

	

	

7

	

£4,850

	

Enquire Now"
12,"02/01/2025

	

London

	

	

Geneva

	

	

Hondajet

	

	

5

	

£4,600

	

Enquire Now"
13,"03/01/2025

	

Manchester

	

	

Innsbruck

	

	

Pilatus PC24

	

	

8

	

£13,000

	

Enquire Now"
14,"03/01/2025

	

Luton

	

	

Paris

	

	

Challenger 604

	

	

12

	

£10,750

	

Enquire Now"
15,"03/01/2025

	

London

	

	

Chambery

	

	

Citation Jet 1

	

	

4

	

£5,000

	

Enquire Now"
16,"03/01/2025

	

Guernsey

	

	

London

	

	

Pilatus PC12

	

	

8

	

£2,850

	

Enquire Now"
17,"03/01/2025

	

Luton

	

	

Paris

	

	

Challenger 604

	

	

12

	

£11,000

	

Enquire Now"
18,"04/01/2025

	

London

	

	

Prestwick

	

	

Citation CJ1

	

	

4

	

£1,500

	

Enquire Now"
19,"05/01/2025

	

Northolt

	

	

Mengen

	

	

Phenom 300

	

	

8

	

£4,000

	

Enquire Now"
20,"05/01/2025

	

London

	

	

Salzburg

	

	

Citation XLS

	

	

7

	

£3,500

	

Enquire Now"
21,"05/01/2025

	

Luton

	

	

Jersey

	

	

Phenom 300E

	

	

9

	

£4,750

	

Enquire Now"
22,"06/01/2025

	

London

	

	

Geneva

	

	

Phenom 300E

	

	

9

	

£8,500

	

Enquire Now"
23,"07/01/2025

	

London

	

	

Sion

	

	

Pilatus PC24

	

	

8

	

£9,000

	

Enquire Now"
24,"09/01/2025

	

Southampton

	

	

Paris

	

	

Citation CJ2+

	

	

7

	

£7,100

	

Enquire Now"
25,"13/01/2025

	

London

	

	

Jersey

	

	

Learjet 40

	

	

6

	

£3,000

	

Enquire Now"
26,"15/01/2025

	

Luton

	

	

Speyer

	

	

Citation XLS

	

	

9

	

£8,500

	

Enquire Now"
27,"15/01/2025

	

London

	

	

Geneva

	

	

Pilatus PC24

	

	

8

	

£8,500

	

Enquire Now"
28,"16/01/2025

	

Blackpool

	

	

Berlin

	

	

Citation CJ1

	

	

5

	

£6,000

	

Enquire Now"
29,"16/01/2025

	

London

	

	

Billund

	

	

Hawker 4000

	

	

8

	

£8,750

	

Enquire Now"
30,"03/02/2025

	

London

	

	

Paris

	

	

Citation CJ1

	

	

4

	

£4,750

	

Enquire Now"
